Address,Status,Bought Amount (ALPH),Remaining (ALPH)
16zCvUyRBrLRtC9wZKVLmAdq5kbPuevDt6E5XyBe98uif,Fully Allocated,1870.7482,0.0000
12KQKA6UWXJvo1YFYiEDk2EsAW4SEqPS4uGfYVU1PQFkM,Fully Allocated,1870.7482,0.0000
13hnJarq1P2aHddnw9M1EBZscEh51wpjqTEkAkf5kPt2j,No Purchase,0.0000,647.5667
15oKH5qTRMnwGXStvB6MwJ8raYqPqXuz7LCvAJLuUU6Rr,Fully Allocated,647.5666,0.0000
1Hn9AQ6v26jocgJkcvJmHSSdiU5K3XBJnQfz2JFQDFbFJ,Fully Allocated,647.5666,0.0000
1C6ipvRtbxwkrC7iWg8kfTqCdGXF9VvANxykdaPuvHGZk,Fully Allocated,647.5666,0.0000
19N9kVRQuGjK9LarXtmAksiECcAgLRXHXJ6KWxCj8EV82,Fully Allocated,647.5666,0.0000
15TYZQYpFDtcdsxDrQJQpFnqBoRfjwzuDgMRCAjBQmzT5,Fully Allocated,647.5666,0.0000
123Bwx3vhGRuTm2GfQZg6y9Yq3wUzJimt39LT6RjR5CEt,Fully Allocated,647.5666,0.0000
15UCCrvTuUjYV83GBrTnkre6fu7EbXZAWVEwJ8G3LBQL8,Fully Allocated,647.5666,0.0000
1gV9W3FVEsSF2AwBYzC2vBJ4sWa2RSXNWENvM4i4wyM9,Fully Allocated,647.5600,0.0000
15uqsD3CtkuECzzmXzGBr6oC3QmyHQJ6r5Rn1ze4YfRzc,Fully Allocated,647.5666,0.0000
1EHRocJoXL1ZQQJ26Eq4LhAbs3MfrDNQf5qNeEn8FmCEZ,Fully Allocated,647.5666,0.0000
1HttDbRJsjtM4vtiAXocKdVxffaqfLq9Xk7jdATguPcXo,Fully Allocated,647.5666,0.0000
1AdSxQ8abZQWsPRrmU1Qz7mQRuVUYvsVRFUmbmDdYw4rS,Fully Allocated,647.5666,0.0000
1F9oeGvWH3babJE8ewCsvQ6HkmwSN4eBULcuyoM5eUANm,Fully Allocated,647.5666,0.0000
1E6Qq7BrqXbpuNVJTmbwJV7jyB76rNWCC7M2XqtEbkM9E,Fully Allocated,647.5666,0.0000
1EADddHUXR13dT4fQpWgYgsyzJUZLL1RAZHZfoL3JtwVW,Fully Allocated,647.5666,0.0000
14UjG8Br8nbz53i28DRb7F6SxLEnR6fWwixfnwcAhVw1V,Fully Allocated,647.5666,0.0000
1BthqX4NqZqLPfq7fHRnKgs5ukRy8EYfc2mwGx57qLaAp,Fully Allocated,647.5666,0.0000
1BegoAyuHsV5pwXkRwh5AjgH36pxuwdK7K9ZLfBHaDkAJ,Under Bought,251.9575,395.6092
19Wz7tztJyLMDoaef3BMARkMPjcJbicCnnq8DrbwNNdJe,Fully Allocated,647.5666,0.0000
131QJV6oD5MDfBszMRrdo42r9g6ce1Hzs15Cr2HtURU5s,Fully Allocated,647.5666,0.0000
1AgxT2989rmviXmzm1xWrJRorYueroGkVkRfnwaCEYoAG,Fully Allocated,647.5666,0.0000
1BfjyeNkmn2D2MvQqyeLQGqPHkYpAsZQUecLvbECf3zb,No Purchase,0.0000,647.5667
1KxwUjQmxCjBB4nbrxQaMt2p7i9NTK1buRbwP3Y9dYAy,Fully Allocated,647.5666,0.0000
18Fbp2srw3FkxwPkqFT5QTGyBZyDDhrtLGDf5h6q4Vgms,No Purchase,0.0000,647.5667
1vhthwsrj4UpJ25DVqrPJYhSyFPzyoo1t9wgxPvUVY15,Fully Allocated,647.5666,0.0000
1DWz1Qpm4PQrn8h4oCf7Pc7pnudEgZFASMXoJHdJ54bNB,Fully Allocated,647.5666,0.0000
1D2X7auRjFqnPe6VZnVgCVb8NZK6A9veEgqqEf6bvreTb,Fully Allocated,647.5666,0.0000
1X5Gi6DBqPWacws4RiovWNY9FwtMun6vrQZKYNW66BoU,Fully Allocated,647.5667,0.0000
18wGQjSRjut5ujaxaumHp7ktgE4d39d6dwe4XUH9pDAyH,Fully Allocated,647.5666,0.0000
19PfFkwKwk9DVCm19ZSd5YwGjp2xP1wRRygYQEeemrgAY,Fully Allocated,647.5666,0.0000
14AECaCmDvXkPSUThJuaARgdHmhaeWoabBtwqrfxcwiPU,Fully Allocated,647.5666,0.0000
12J8rmA29dRs9bEk266KABj5ybP3kqxG9me5hzUKgkGk5,No Purchase,0.0000,647.5667
1AWZ1x17H8bHrQmd2HDyUuST92VQYu4nmVfNfctUKTv1B,Fully Allocated,647.5666,0.0000
1Bk71VeWmYEfagPsXXWKKWXEoD3eYvCF2MT26hR6pcGcr,Fully Allocated,647.5666,0.0000
1CmQ4gpoPCwKE5v3WuPj8T2fCK1QJdiye8X8gAdV9fLXD,Under Bought,635.0000,12.5667
13fyy7ydXEARTUKB9AEta9Y6oyWz4mnzJgkkLZfa75orc,Fully Allocated,647.5666,0.0000
1DKsoA7TmooHfikH6vvwzDzv2xAkEndQCuhbodcxPF8Ht,Fully Allocated,647.5666,0.0000
12QTTNaFxwrNK5obh1GaSbvH12eiJbxcpyKdGfoT4cK87,Fully Allocated,647.5666,0.0000
1FWnpgvQZpz23d6t2rWV9C9ZaUpXYqqDrGSoFEcfnTz5k,Fully Allocated,647.5666,0.0000
16isZ1GduVNgKvnXuuFP4W2WZrzK634wnyWJMa9X9hfzf,Fully Allocated,647.5666,0.0000
14sJCEZme2rJxTPhdgLbFWYjrpUkpqhyg26d3ug25i7Vm,Fully Allocated,647.0000,0.0000
1CS1XNP6Qz4JwktccA6W1btY8AGReK63WiyEu41uGVpfP,Fully Allocated,647.5660,0.0000
1GuNaekoN6NcASRSTacEqwggDcufkcCJJmSzVeGxjmhFE,Fully Allocated,647.5666,0.0000
17pXUGzeveYLaTXhULWfVZCDcdTH9ffpdpiWHzE4VkxjG,Fully Allocated,647.5666,0.0000
1ALbtbMiq99kJDPmPk6gqfuW9nZWLGFHnn85A45SpgkTe,Fully Allocated,647.5666,0.0000
17bT8H2FnmVTBV7cp7mk9XytoEwSqCKA1BQT9WZF4YjhK,Fully Allocated,647.5666,0.0000
13pXLh9AyR5VPzFZzFqGRGMcK9rG7hxuVTRALduzn3ps7,No Purchase,0.0000,647.5667
15VcZS6M5CDyt5TCxmiZeWTxqT1af8CpxvD9jjpGjmWFQ,Fully Allocated,647.5666,0.0000
14RdJNmmTxzWJYqR5HrqdKZd99uCP6CMJueof2Qm3KUtQ,Under Bought,595.7000,51.8667
1DJd7zyQrnFCRN3pycZyigEHpfhkZNcmyTw6ApGCKLWnM,Fully Allocated,647.5666,0.0000
17Cf96JCpxfyY2EdHSXV88rWLPsMUoCVMxUTMMvmDFwPv,Fully Allocated,647.5666,0.0000
157L9MsM4AAfL2CJeqHHZR4bUaZRfsCLW2FaRQDyoXdjg,Fully Allocated,647.5666,0.0000
1BY8fRZ1dEEsMYLVreWwfuPdagyEUXERK3amEPqaxmea3,Fully Allocated,647.5666,0.0000
1CpSYZfBCqzMmcwsh1XPE4396DSCv7C2WVECvydCWoWVY,Fully Allocated,647.5666,0.0000
19CeEm3rD2EfEvVuXmZ4AdwnXrDYtd6kowMeKd4xK2iK7,Fully Allocated,647.5666,0.0000
18q3kBGDjokZFFWV3jSLiQYBAiRwcjxe6Nhi8SmzwtuXu,Fully Allocated,647.5666,0.0000
1CAxaM6c5dgrKSZ4r63nrUEdAVw4a87WB8d6dEvJncB8W,Fully Allocated,647.5666,0.0000
1AYmKcqPYxSRiUgM5JAtHvTSDQkmEQL1sav3VunTUqEWd,Fully Allocated,647.5666,0.0000
19PZP4eWmsE1uzRU89w4ytBMAnzbykaJuEtx2TT6dSEM6,Fully Allocated,647.5666,0.0000
1EXvdrYyugeLLJYJhSnzYjksVKxabAF3TJLrF2F9MmwAL,Fully Allocated,647.5666,0.0000
1J9wVM9po2uFjXjmstQKBriC2aNyga5Ke4htC8wi3az5V,Under Bought,423.3867,224.1800
1G4wvP2zFGQPy8uMErs6mF2dsdQBCrhTFfH1LdY3w327c,Fully Allocated,647.5666,0.0000
1GdQcEw9w11SJjLVnjJfAtJRrGp6RFUg95aeMaM4KpMTs,Fully Allocated,647.5666,0.0000
1FZfLs5CVmBVQcM7Npbng8HJojp6VyAe1PReFKjEGqYVo,Fully Allocated,647.5666,0.0000
149ysxkevcvqgvzVYVE4zxDV6yaJ2Jo7LTjj5tp2BFyMR,Fully Allocated,647.5666,0.0000
1rFgoWF9b538P8WGjqunT67THTs35BAkGwTinG9mbA2Q,Fully Allocated,647.5666,0.0000
1CKLwtEpdpu1pKXtxvhdKzkWzY9uhnvEzzUKmHraeChic,Fully Allocated,647.5666,0.0000
12AGHWXWDFDuaws2FzSrrB3XRSULUwVaXvZWv4Ky5QmJr,Fully Allocated,647.5666,0.0000
1HjyiQEuzCdbxXSajLXEVD7reGTSWG7istWJkqufV8CHD,Fully Allocated,647.5666,0.0000
1B9E2335A2nsn9Fi9aTMirCSUJjqQeHhgxLWZJz2YRLRx,Fully Allocated,647.5666,0.0000
17RnYNTDAWJumGJJhiKdmByC2nXVynBrkrmg25FYTAVpB,Fully Allocated,647.5666,0.0000
1GFRczgv11XmV6hoJPqFDXKej1KguKsLP4wQEF7aYCnAE,Fully Allocated,647.5666,0.0000
1BK1subUcBXiizAKtDP7F3XUyyBacyHTovR4PgTNvDW2W,Fully Allocated,647.5666,0.0000
1DkVVGnJduCH3KojQLJdhX78qQgwvrVtGcKW9guXunQBd,Fully Allocated,647.5666,0.0000
17KNHHeJoVXjWrgqL9cimQjhkd5TR6m1rVUfZZvrunQ8k,Fully Allocated,647.5666,0.0000
16sX7iiLVVenvngjJ3bpnyUgGq9M8Rpu7oiQBVB9CaHrz,Fully Allocated,647.5666,0.0000
18SC9nEZKUZkWuf95zY2fu1v4ZupdYRv1rbsPqD8qX5uL,Fully Allocated,647.5666,0.0000
1AKEmSo19Fy8t1j8Tvr4nvQgdVMKxpKZtHijNgSzCC3zP,No Purchase,0.0000,647.5667
16AvRroa1QDN6PU3zv1xusz5et16oCtPXg5W9JQv6ZoqP,Fully Allocated,647.5666,0.0000
1Hdm8C5hmcKqgaZ3yjqXcp16k6E6gATDb76ojhrCLPgPj,Fully Allocated,647.5666,0.0000
19EXwSpnve2WfrGFi47CNqgakXSD7Tb6q4cZX4ifBKqai,Fully Allocated,647.5666,0.0000
12g8P3W49BYdWZp98x8GVpoAE5cr6TDNJPCMwegoTLd9v,Fully Allocated,647.5666,0.0000
1Ac3xQJjFo1qh1VGZUqYnxLvh2pi2sgHpRMePMv4zkasQ,Fully Allocated,647.5667,0.0000
1AkRFNjokQ67fsZsZy8MWNwnFSECsYxGwpSksJqENzQ6L,Fully Allocated,647.5666,0.0000
18GYiRkQwvqjP21VdKyM9f1qA632TWKGNGoNTpvceLY7S,Fully Allocated,647.5666,0.0000
138G6ZDhjzxSxCnRr8De8pftGZEQ8unffCkVh97Kc4w2A,Fully Allocated,647.5666,0.0000
19tvYk2qzrSnb3SjVzqxE7EaybVrtxEGGpWYDC6dBcsMa,Fully Allocated,647.5666,0.0000
1An4taTeirZEn94yJDF4jopSNeSXpftyDj1Uo6xY3rkcQ,Fully Allocated,647.5666,0.0000
17wS1Y5JGFxASNYwfhwcZxwbqYPWFdYzRbZeph4hKnDqq,Fully Allocated,647.5666,0.0000
1BLa9urWRfepNwGCDnvgX9X6tYsqMJV5Pg5Mz66Dns5o3,Fully Allocated,647.5666,0.0000
14g6UzpENCRPNdAk4qbaua2pcursnC5cmvVmzRtPEo51R,Under Bought,0.0001,647.5666
1YSsLdAcxvaFg9iWhHLE2C7LGfS6u8rsNWawfNTDQvzZ,Fully Allocated,647.5666,0.0000
164RFkKQeNwXJqsZcrYbBNVioP822CDu3NqYJx1wYmqkA,Fully Allocated,647.5666,0.0000
193S2y1BMJW4r71EirBQXaf2s1xjxRZ91iAFrsckGFEN4,No Purchase,0.0000,647.5667
1GwsgMTBafT6kZtPF7MM7RsFoowZzpgfprA1FRQgAYm3f,Fully Allocated,647.5666,0.0000
18chQJwcadFDSebF2mkhFBRVVBxashAHD34tyqwSvfV94,Fully Allocated,647.5666,0.0000
1GB8KvvQFY57zFBHDHB8U562EBgTubJdsVwEbpRn8Va8d,Fully Allocated,647.5666,0.0000
1BMvKqUB9DhJtLdWJsyggmZ1CvYa1PPRcYDe4YEuCoPxy,Fully Allocated,647.5666,0.0000
1DhGVzEtoLyxjRwUjmV118fD6SLHMnxQ338X4SvjKHjrn,Fully Allocated,647.1743,0.0000
189LPswyoTsHbksS9KueYpyAi1K5gmu3wUsLQmPkB2Afh,Fully Allocated,647.5666,0.0000
171fQAeo4gxcjhMQzSRjPcvBjQ2sftEPdyuoZRwWnnEJo,Fully Allocated,647.5666,0.0000
113DVfCNvwxvS3WLfH4Ew6U1DRPocshUrRovUG47f3JUz,Fully Allocated,647.5666,0.0000
17CZ8Uh56UNJLi4LZbXpRhFuuxyinDE6KWgshKWFhfTJy,Fully Allocated,647.5666,0.0000
16Y37jWRX9UfH5weyCDDr6bsBdMCsGFBScpdy1W4FSDiG,Fully Allocated,647.5666,0.0000
1EhqFpucZ7uigz8Dz7kCpLcsj2MqybrGAAs6PLg1j7bxq,Fully Allocated,647.5666,0.0000
1EgqkPqPbAfrgGwvtyJbYHPPtfXDvt8rP1AFc2ZJriXCZ,Fully Allocated,647.5666,0.0000
1GE1NFvoAM35bkUU9ZgaV3MuA1PH3CTVwRpQcw4w4aQcS,Fully Allocated,647.5666,0.0000
16Evm8ciyKFfXbua3RVe8k3PfWscdFgsGdcf8E4zTmu2x,Fully Allocated,647.5666,0.0000
1DoobysEgsxVKyLNW9mA8Mt7iRZEasmc8kf5PjcCKxGg5,Fully Allocated,647.5666,0.0000
1EYfTav8yB8eM6koL4aP87KNpyoN1bBHzmKCLEyRUsj2m,Fully Allocated,647.5666,0.0000
1AqjxreMTXnixDW3y9LvitByTTXkLjQgHRodjHGTxKYuu,Fully Allocated,647.5666,0.0000
1GXwU1gFwk3HVToVegqsTCGGD82HnvZssWTikaFiLcRGW,Fully Allocated,647.5666,0.0000
15sLDqU9awXP99HwBieowMmwEvVfGzvr8MPJUPuzYGjcu,Under Bought,600.2301,47.3366
13FH2nxJH5bijSCUQtcQCmKZw4z9735v5Ebeqh5hVNrLA,Fully Allocated,647.5667,0.0000
1BnT7pCb1BWcPwVcNYvwUZEP11B3YtcnEuMGEWnRCrkgb,Fully Allocated,647.5666,0.0000
1HZAmmUybEkwPcSaUZcQjwuVoFLZ3qBKmaAa1L7Y99wQt,Fully Allocated,647.5666,0.0000
1AoZpS8tQvpbGxRt2YaUu5vxQ9nDaZdZ7hptaEi1tYbw9,Fully Allocated,647.5666,0.0000
12hRNkjJRLpQk5BuTfMUXJpQqFDGmtAGx7DvGDvLENjMT,Fully Allocated,647.5666,0.0000
1EQ69wTYLt9pg1VagRnmoZKzMCLomPaAQeS92XoY1vP4R,Fully Allocated,647.5666,0.0000
1FUhHj5vPgBHKeh2qXQq8dBKN7YvpLMWQNoRPgigbpKjd,No Purchase,0.0000,647.5667
1Bd9bFMia2hnXfTw773TJLCB4Q2wne86avj6gUXZH4SSF,Fully Allocated,647.5666,0.0000
14Z6dk9v1tKgiJsiY8chuXdsuQ2g6Dm6E9axR2HRDtyRD,Fully Allocated,647.5666,0.0000
1Bimih1ZboeXpA5KWskrxXSAwPvZAvXYh5XDMyjNX37xP,Fully Allocated,647.5666,0.0000
13tyVJam9WAaE6XvFTfHeX9o28qsXoSmigQJnXE7ePBM3,Fully Allocated,647.5666,0.0000
17ZMCP3uFCHeCRDgdvf3gL6v9JoUn5hJo5T1kYCZMmnr8,Fully Allocated,647.5666,0.0000
1AfBFvSU92Sp1GTgFQKD4LQN91vXj22GijqVztpC56ozA,Fully Allocated,647.5666,0.0000
15GsAPeECfmo2g1aMEWZNNHhTUPjPdgMJA7QhuNt8CCEG,Fully Allocated,647.5666,0.0000
1FsPV5BBEJ52D1HFwaGBb98UdkdugstNnCMQx6Yg4MXPB,No Purchase,0.0000,158.2941
1EBPBQJMtqMTedmwNvwnVT2bD9HnMd4GZc5qL2SDWHZWk,No Purchase,0.0000,158.2941
17ZCUMbdX4aCZm8VYsVEP5jw6j9357BuHnkx5YssSrBpi,No Purchase,0.0000,158.2941
1BDkMNxZznUsoDGnt2RZrkeQnPqMqFRhoJapf3gGLTQav,Fully Allocated,158.2940,0.0000
1DW4RitPJ2qSMgU8Yb7MASVvvXa6exu6w12uUVxf1w82o,Fully Allocated,158.2940,0.0000
191kA69wSCpruQZ5bpStrjQuDsiHVghrapAxNgUEYZYHo,Fully Allocated,158.2940,0.0000
1BtuaC3CxAqZdkQRT14aB19ZSeGwxw4XcDchMBDqjgfd8,No Purchase,0.0000,158.2941
1Fmvq1qU4Nq5HXP3r3v7Viob6GtT2yHUhXeNj9ejzGksM,Fully Allocated,158.2940,0.0000
12yE6LsjJY4C9UXZ88evFKFvWeq6pRW8MauQ1JcbE2pcD,No Purchase,0.0000,158.2941
1DV3ETy9fZHY9M45kDwiuP4jN2gXWX8bdvCCnakZpWpXW,Fully Allocated,158.2940,0.0000
